"Date" "hydro" "solar" "pv" "otras.re" "ghidfs" "ghidfm" "Year" "Izana" "Laguna" "SCTenerife" "Teide" "Mean" "cfcdfs" "cfcdfm" "taxdfs" "taxdfm" "Month" "mon" "dusty" "B0" "Kt" "class" "ghicormean" "cfccormean" "taxcormean"
"366" 2011-01-01 -0.066 330.477 3.25652298903575 "26.345" 40524 147.897810218978 "2011" NA 0.013015 NA NA 0.013015 8272 29.8628158844765 1202.31997013092 19.0844439703321 "01" "ene" "no-dusty" 5898.81596791004 0.601738970085735 "cloudy" 148.017094017094 6 18.0703121125698
"367" 2011-01-02 -0.065 107.377 3.02052697965742 "25.041" 40708 148.569343065693 "2011" 0.089679 0.014973 NA NA 0.052326 14778 53.3501805054152 1268.28997325897 20.1315868771265 "01" "ene" "no-dusty" 5913.73361015854 0.602946373413166 "cloudy" 148.615384615385 33 19.4387495815754
"368" 2011-01-03 -0.067 27.752 3.21500098652396 "27.179" 43898 160.211678832117 "2011" 0.121327 0.020031 NA NA 0.070679 16065 57.9963898916968 1271.94997596741 20.1896821582128 "01" "ene" "no-dusty" 5929.89774774513 0.648422697243457 "cloudy" 160.376068376068 55 19.3309370875359
"369" 2011-01-04 -0.066 16.112 3.34533174787994 "27.045" 43467 158.638686131387 "2011" NA NA NA NA NA 20191 72.8916967509025 1279.1099729538 20.3033329040285 "01" "ene" "no-dusty" 5947.29837828278 0.640177812678135 "cloudy" 156.683760683761 92 19.6528120934963
"370" 2011-01-05 -0.066 12.258 3.7861546810638 "23.066" 47640 173.868613138686 "2011" 0.205222 0.018367 NA NA 0.1117945 4116 14.8592057761733 1310.37997341156 20.7996821176438 "01" "ene" "no-dusty" 5965.92465009415 0.69944676811542 "clean" 176.264957264957 15.5 20.3109371066093
"371" 2011-01-06 -0.066 66.43 3.74524924303963 "18.457" 48188 175.868613138686 "2011" 0.142995 0.019447 NA NA 0.081221 1869 6.74729241877256 1346.63996601105 21.3752375557309 "01" "ene" "no-dusty" 5985.76487528621 0.70514742948814 "clean" 178.059829059829 3.5 20.5715619623661
"372" 2011-01-07 -0.066 67.455 3.82903511689227 "21.893" 48080 175.474452554745 "2011" 0.168664 0.032801 NA NA 0.1007325 1548 5.5884476534296 1282.84996986389 20.3626979343475 "01" "ene" "no-dusty" 6006.80654390463 0.701102462769897 "clean" 177.683760683761 0 19.2215620279312
"373" 2011-01-08 -0.066 757.829 3.58761611167551 "26.866" 45808 167.182481751825 "2011" 0.127254 0.024083 NA NA 0.0756685 7668 27.6823104693141 1276.97997093201 20.2695233481271 "01" "ene" "no-dusty" 6029.03633913752 0.665509268205503 "cloudy" 171.991452991453 20.5 19.0896871387959
"374" 2011-01-09 -0.067 812.741 3.45983865428934 "27.219" 40229 146.821167883212 "2011" 0.091541 0.022879 NA NA 0.05721 9853 35.5703971119134 1231.27997398376 19.5441265711709 "01" "ene" "no-dusty" 6052.44015353593 0.582196261310981 "cloudy" 148.333333333333 17.5 18.6140620410442
"375" 2011-01-10 -0.066 878.083 3.46420252684848 "27.174" 46795 170.784671532847 "2011" 0.05113 0.019353 NA NA 0.0352415 6462 23.3285198555957 1208.97997570038 19.1901583444505 "01" "ene" "no-dusty" 6077.00310621548 0.674482478476289 "cloudy" 174.521367521368 3 18.3074996173382
